Title,URL,Volume Issue,Vol Issue Year
Event-case correlation for process mining using probabilistic optimization,https://www.sciencedirect.com/science/article/pii/S0306437923000030,Volume 114,Mar-23
Semi-supervised and un-supervised clustering: A review and experimental evaluation,https://www.sciencedirect.com/science/article/pii/S0306437923000145,Volume 114,Mar-23
An approach for analyzing business process execution complexity based on textual data and event log,https://www.sciencedirect.com/science/article/pii/S0306437923000200,Volume 114,Mar-23
Enabling schema-independent data retrieval queries in MongoDB,https://www.sciencedirect.com/science/article/pii/S0306437923000017,Volume 114,Mar-23
All that glitters is not gold: Four maturity stages of process discovery algorithms,https://www.sciencedirect.com/science/article/pii/S0306437922001338,Volume 114,Mar-23
Semantics-aware mechanisms for control-flow anonymization in process mining,https://www.sciencedirect.com/science/article/pii/S0306437923000054,Volume 114,Mar-23
Process mining meets model learning: Discovering deterministic finite state automata from event logs for business process analysis,https://www.sciencedirect.com/science/article/pii/S0306437923000169,Volume 114,Mar-23
Explainable concept drift in process mining,https://www.sciencedirect.com/science/article/pii/S0306437923000133,Volume 114,Mar-23
Information systems engineering with Digital Shadows: Concept and use cases in the Internet of Production,https://www.sciencedirect.com/science/article/pii/S0306437923000182,Volume 114,Mar-23
Mining and searching app reviews for requirements engineering: Evaluation and replication studies,https://www.sciencedirect.com/science/article/pii/S0306437923000170,Volume 114,Mar-23
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0306437923000261,Volume 113,Jan-23
Multi-valued indexing in Apache AsterixDB (SI DOLAP 2022),https://www.sciencedirect.com/science/article/pii/S0306437922001223,Volume 113,Jan-23
Editorial Note to the special issue of the Information Systems journal on Web Engineering with selected papers from ICWE 2021 conference,https://www.sciencedirect.com/science/article/pii/S0306437922001247,Volume 113,Jan-23
Quantifying chatbots’ ability to learn business processes,https://www.sciencedirect.com/science/article/pii/S0306437923000121,Volume 113,Jan-23
