Title,URL,Volume Issue,Vol Issue Year
Metaverse technology in sustainable supply chain management: Experimental findings,https://www.sciencedirect.com/science/article/pii/S0167923625000247,Volume 191,Apr-25
Is ambiguity always adverse? Empirical evidence from the wireless emergency alerts during the pandemic,https://www.sciencedirect.com/science/article/pii/S0167923625000259,Volume 191,Apr-25
Are helpful reviews indeed helpful? Analyzing the information and economic value of contextual cues in user-generated images,https://www.sciencedirect.com/science/article/pii/S0167923625000272,Volume 191,Apr-25
Balancing the costs and benefits of resilience-based decision making,https://www.sciencedirect.com/science/article/pii/S0167923625000260,Volume 191,Apr-25
Editorial Board,https://www.sciencedirect.com/science/article/pii/S0167923625000168,Volume 190,Mar-25
Decision support through deep reinforcement learning for maximizing a courier's monetary gain in a meal delivery environment,https://www.sciencedirect.com/science/article/pii/S0167923624002215,Volume 190,Mar-25
Excessive use in the metaverse: The role of multisensory interaction,https://www.sciencedirect.com/science/article/pii/S0167923624002239,Volume 190,Mar-25
Revisiting time-varying dynamics in stock market forecasting: A multi-source sentiment analysis approach with large language model,https://www.sciencedirect.com/science/article/pii/S0167923624001957,Volume 190,Mar-25
Can causal machine learning reveal individual bid responses of bank customers? — A study on mortgage loan applications in Belgium,https://www.sciencedirect.com/science/article/pii/S0167923624002112,Volume 190,Mar-25
Willing and able: Task recommendation with a trade-off of the bilateral benefits for knowledge-intensive crowdsourcing,https://www.sciencedirect.com/science/article/pii/S0167923625000016,Volume 190,Mar-25
Enhanced digital embeddedness and bubble mitigation in NFT marketplaces: The impact of rarity rank on user trading behavior,https://www.sciencedirect.com/science/article/pii/S0167923625000089,Volume 190,Mar-25
Panoramic sales insight: Using multimodal fusion to improve the effectiveness of flash sales,https://www.sciencedirect.com/science/article/pii/S0167923625000028,Volume 190,Mar-25
An interpretable imbalance ensemble classification method for readmission risk assessment incorporating multi-view perturbation and SHAP analysis,https://www.sciencedirect.com/science/article/pii/S0167923625000053,Volume 190,Mar-25
Exploring the motivations behind behavior: A theory-driven deep-learning framework for cyberviolence behavior detection,https://www.sciencedirect.com/science/article/pii/S0167923625000107,Volume 190,Mar-25
